,ACWI,AGG,GLD,BSV
2019-12-06,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2019-12-13,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2019-12-20,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2019-12-27,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2020-01-03,0.4,0.13750000000000004,0.22499999999999998,0.23750000000000004
2020-01-10,0.39999999999999997,0.09999999999999999,0.19999999999999998,0.3
2020-01-17,0.33749999999999997,0.16249999999999998,0.13749999999999998,0.3625
2020-01-24,0.2392857142857143,0.26071428571428573,0.11071428571428572,0.3892857142857143
2020-01-31,0.11428571428571424,0.295970695970696,0.19084249084249086,0.39890109890109887
2020-02-07,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-02-14,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2020-02-21,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2020-02-28,0.025,0.35,0.21666666666666665,0.40833333333333327
2020-03-06,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2020-03-13,0.0,0.22222222222222227,0.33333333333333337,0.44444444444444453
2020-03-20,0.0,0.1055555555555556,0.45833333333333326,0.43611111111111106
2020-03-27,0.0,0.22222222222222227,0.44444444444444453,0.33333333333333337
2020-04-03,0.0,0.22222222222222227,0.44444444444444453,0.33333333333333337
2020-04-09,0.0,0.22222222222222227,0.44444444444444453,0.33333333333333337
2020-04-17,0.0,0.3472222222222222,0.38194444444444453,0.27083333333333337
2020-04-24,0.0,0.33722222222222226,0.26694444444444454,0.39583333333333337
2020-05-01,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2020-05-08,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2020-05-15,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2020-05-22,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2020-05-29,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2020-06-05,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-06-12,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-06-19,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-06-26,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-07-02,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-07-10,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-07-17,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-07-24,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-07-31,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-08-07,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-08-14,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2020-08-21,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2020-08-28,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-09-04,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-09-11,0.17500000000000002,0.2625,0.1625,0.4000000000000001
2020-09-18,0.10681818181818185,0.2056818181818182,0.2874999999999999,0.39999999999999997
2020-09-25,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-10-02,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2020-10-09,0.22499999999999998,0.2375,0.13749999999999998,0.39999999999999997
2020-10-16,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2020-10-23,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-10-30,0.2375,0.13749999999999998,0.22499999999999998,0.39999999999999997
2020-11-06,0.11250000000000002,0.19431818181818186,0.2931818181818182,0.4000000000000001
2020-11-13,0.23382352941176465,0.19799465240641712,0.1681818181818182,0.4
2020-11-20,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-11-27,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-12-04,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-12-11,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-12-18,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-12-24,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2020-12-31,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2021-01-08,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2021-01-15,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2021-01-22,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2021-01-29,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2021-02-05,0.33333333333333337,0.22222222222222227,0.0,0.44444444444444453
2021-02-12,0.33333333333333337,0.22222222222222227,0.0,0.44444444444444453
2021-02-19,0.3869047619047619,0.09722222222222224,0.0,0.5158730158730159
2021-02-26,0.5119047619047619,0.031362007168458814,0.0,0.45673323092677937
2021-03-05,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-03-12,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-03-19,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-03-26,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-04-01,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-04-09,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-04-16,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-04-23,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-04-30,0.5714285714285715,0.0,0.0,0.4285714285714286
2021-05-07,0.5,0.0,0.125,0.375
2021-05-14,0.44444444444444453,0.0,0.22222222222222227,0.33333333333333337
2021-05-21,0.44444444444444436,0.0,0.3333333333333333,0.22222222222222218
2021-05-28,0.44444444444444436,0.0,0.3333333333333333,0.22222222222222218
2021-06-04,0.44444444444444436,0.0,0.3333333333333333,0.22222222222222218
2021-06-11,0.4131944444444445,0.07031250000000001,0.23958333333333334,0.27690972222222227
2021-06-18,0.42646878072763034,0.18203816371681417,0.13781342182890857,0.25367963372664704
2021-06-25,0.4831199735197555,0.1108965108599801,0.08395507468574265,0.3220284409345219
2021-07-02,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2021-07-09,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2021-07-16,0.4,0.30000000000000004,0.1,0.2
2021-07-23,0.43124999999999997,0.2453125,0.029687500000000012,0.29374999999999996
2021-07-30,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2021-08-06,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2021-08-13,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2021-08-20,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2021-08-27,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2021-09-03,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2021-09-10,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2021-09-17,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2021-09-24,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2021-10-01,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2021-10-08,0.5694444444444444,0.17222222222222225,0.0,0.2583333333333333
2021-10-15,0.6944444444444444,0.12222222222222225,0.0,0.18333333333333332
2021-10-22,0.8194444444444444,0.07222222222222224,0.0,0.10833333333333334
2021-10-29,0.9444444444444444,0.02222222222222224,0.0,0.033333333333333354
2021-11-05,0.8272569444444444,0.0951388888888889,0.05208333333333332,0.02552083333333335
2021-11-12,0.7423178798858147,0.06355127360562143,0.17708333333333334,0.017047513175230577
2021-11-19,0.6573788153271849,0.03196365832235397,0.30208333333333337,0.008574193017127803
2021-11-26,0.7823788153271849,0.020302215688239873,0.1918729366740438,0.0054460323105315015
2021-12-03,0.7177920680162356,0.14530221568823987,0.13312709856668287,0.003778617728841722
2021-12-10,0.8427920680162356,0.08094266054265699,0.07416033883084128,0.0021049326102661444
2021-12-17,0.7470827686873511,0.05239436490315565,0.1991603388308413,0.0013625275786519888
2021-12-23,0.6513734693584665,0.02384606926365431,0.3241603388308413,0.000620122547037833
2021-12-31,0.5714285714285715,0.0,0.4285714285714286,0.0
2022-01-07,0.5714285714285715,0.0,0.4285714285714286,0.0
