date,sum_weights,min_weight,max_weight,turnover,turnover_cap_pass,fully_invested_pass,long_only_pass,no_leverage_pass,period
2013-08-30,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-09-06,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-09-13,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-09-20,1.0,0.0,0.875,0.25,True,True,True,True,train
2013-09-27,1.0,0.0,0.75,0.25,True,True,True,True,train
2013-10-04,1.0,0.0,0.625,0.25000000000000006,True,True,True,True,train
2013-10-11,1.0,0.0,0.5714285714285715,0.10714285714285698,True,True,True,True,train
2013-10-18,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2013-10-25,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2013-11-01,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2013-11-08,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2013-11-15,1.0,0.0,0.5,0.2500000000000001,True,True,True,True,train
2013-11-22,1.0,0.0,0.44444444444444453,0.19444444444444436,True,True,True,True,train
2013-11-29,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2013-12-06,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2013-12-13,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2013-12-20,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2013-12-27,1.0,0.0,0.5158730158730159,0.24999999999999997,True,True,True,True,train
2014-01-03,1.0,0.0,0.44444444444444453,0.24999999999999997,True,True,True,True,train
2014-01-10,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2014-01-17,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2014-01-24,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2014-01-31,1.0,0.0,0.39583333333333337,0.25,True,True,True,True,train
2014-02-07,1.0,0.0,0.44444444444444453,0.19444444444444453,True,True,True,True,train
2014-02-14,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2014-02-21,0.9999999999999999,0.0,0.44444444444444436,0.2222222222222224,True,True,True,True,train
2014-02-28,0.9999999999999999,0.0,0.44444444444444436,0.2222222222222221,True,True,True,True,train
2014-03-07,1.0,0.1,0.4,0.1999999999999998,True,True,True,True,train
2014-03-14,1.0000000000000002,0.1,0.325,0.24999999999999994,True,True,True,True,train
2014-03-21,1.0,0.1,0.4,0.24999999999999994,True,True,True,True,train
2014-03-28,0.9999999999999999,0.0,0.44444444444444436,0.1999999999999998,True,True,True,True,train
2014-04-04,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
2014-04-11,1.0,0.05113636363636363,0.36742424242424243,0.24999999999999997,True,True,True,True,train
2014-04-17,0.9999999999999999,0.09833148558758313,0.39724932249322487,0.24999999999999994,True,True,True,True,train
2014-04-25,0.9999999999999999,0.0,0.44444444444444436,0.19666297117516626,True,True,True,True,train
2014-05-02,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
2014-05-09,0.9999999999999999,0.0,0.44444444444444436,0.2222222222222221,True,True,True,True,train
2014-05-16,0.9999999999999999,0.0,0.44444444444444436,0.2222222222222221,True,True,True,True,train
2014-05-23,0.9999999999999999,0.0,0.44444444444444436,0.2222222222222221,True,True,True,True,train
2014-05-30,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
